Dharmarayaswamy Temple Ward,Acquired public road.
Bommanahalli,Harlur-Kudlu-Parappana Agrahara Main Road is not motorable
Maruthi Mandira Ward,Waste dumping in vacant site
Basaveshwara Nagar,Stench from parked bbmp truck
Ganga Nagar,fruitand vegetable vendors
Bharathi Nagar,REGARDING REMOVAL OF GARBAGE
Bharathi Nagar,REGARDING REMOVAL OF GARBAGE
Byatarayanapura,Street lights are not working from past 6 Months
BTM Layout,Required playground for playing children in colony
Begur,sanitary and drainage issue
Begur,sanitary and drainage issue
Kavalbyrasandra,clearance of mixed waste at kanaka nagar railway gate opposite to BIME college
T-Dasarahalli,Huge garbage in my residential area
Nagarabhavi,Lot of mosquitos becoz of garbage in empty BDA site
Rajarajeshwari Nagar,"Stroam drain blockage, back side of Police station"
Jnanabharathi Ward,Garbage
Nagavara,Drainage system
Rajarajeshwari Nagar,Potholes
K.R.Puram,Street lights not working!
Uttarahalli,Regarding removal of tree garbage pending for more than 27 days.
Gandhi Nagar,Street light
Kottigepalya,Roads nt in gud condition
Konanakunte,pruning of old trees in RBI lay out
Siddapura,request for speed breaker and close crossing near meenakshi layout
Ullalu,Regarding denying of plan approval at RR layout Nagadevanhalli Bangalore 560056
Giri Nagar,Street light not working
Varthur,garbage dump in front of Aishwarys Serenity aprtment in Marathahalli
Bellandur,Road outside my apartment which was dug is not closed
Dodda Bidarkallu,STREET LIGHT NOT WORKING
Ulsoor,Sweepers not coming
Manorayanapalya,Street Light Not working
Jogupalya,Water stagnant near the house
Kaveripura,Ward Number Correction in the Katha
Bagalagunte,Waste collection is not done from more than 1 week
J.P.Nagar,JPNAGAR 7TH PHASE_treet dogS
Rajaji Nagar,Hole in the road
Marathalli,Side Walk slate Breakdown near Deverabisanahalli Bus Stop(towards intel)
Hampi Nagar,Incomplete work by road service team
Jakkur,Name change in property tax paid receipt
Ganeshmandira Ward,Request for Garbage clearance
Koramangala,Fix Sewage Pipe in Koramangala 6th Block. Foul Odour causing discomfort
J.P.Nagar,Tree fallen on house
Hongasandra,Drinage Blocked / Broken
Banasawadi,Drainage blocked and stinking - threat of Dengue - HRBR Layout First Block - 5 th Cross 8 th Main Road
Bellandur,Regarding manholes in bellandur ward no 150
Sudam Nagar,Drainage water havoc during present monsoons
Hoodi,Requesting speed breaker in my locality immediately
Hagadooru,Water logging infront of Forum Value Mall Whitefield main road
J.P.Park,Road cutting
Lakkasandra,wall has been collapsed
Kadugudi,About removal of pigs
Marenahalli,Making distrubence
Mathikere,Overflow from Manhole chamber
Giri Nagar,Tree cutting removal
Horamavu,MUTLIPLE PAYMENT FOR YEAR 2016-17
K.R.Puram,K Narayanpura and Hennur Bagalur road in pathetic cond for over 9months
Basaveshwara Nagar,Stench emitting from parked bbmp trucks behind 5th main beml layout basaveshwaranagar
Sarvagna Nagar,(1)Sewage water getting mixed up in SWD and (2)broken manhole
K.R.Puram,Thubarahalli extended road issue
Banasawadi,Mosquito menace
Banasawadi,Mosquito menace
Bellandur,illegal digging of borewell
HSR Layout,Illegal digging of borewell on road side
Shettyhalli,Drainage water
Hoodi,Complaint against roads
Dharmarayaswamy Temple Ward,sewage blockage
Govindraja Nagara,kaveri water connection pipe broken
Begur,Waste not getting picked
Begur,"Broken Road in Doddathogur, Electronics City Phase 1"
Ramamurthy Nagar,Poor infrastructure
Doddanekkundi,No tar road (muddy road with POT holes) in Thubarahalli extended road though more than 1200 families are staying here since last 5 yrs
K.R.Puram,Garbage collection not done for around 6 weeks
Basavanapura,Street Light Not Working from past 1 month
Gurappanapalya,Drainage Block
Yelahanka Satellite,Non removal of debris
Doddanekkundi,thubarahalli extended road is in pathetic condition
Doddanekkundi,"Thubarahalli Extended Roads ,Roads Issues"
J.P.Nagar,STOP KHATA TRANSFER
Basavanapura,Irregular supply
Banasawadi,Refusal to collection of Garbage
Bagalagunte,BLOCKAGE OF DRAINAGE AND OVER FLOW OF WATER TO NEAR BY VACANT SITE
Hebbal,stagnant water around prestige misty waters apartment
Bagalagunte,Dear sir when will release the free construction home for 4lakhs Plesae
Mahalakshmipuram,Garbase collection
Lingarajapura,Sewage Cleaning Work pending from last two months
Dodda Bidarkallu,ncorrect GIS PID which has been tagged to my Base application-12744740
Dodda Bidarkallu,Incorrect GIS PID issued for my Base Application Number 12744740
Vasanth Nagar,making dirty by building constuction owners
T-Dasarahalli,waste pick up is not happening
Sagayapuram,drainage blockage
Doddanekkundi,Street Dog Issues
Hoodi,Hoodi-Sadarmangala Road Dreaded Condition
HSR Layout,flooding and water entering house
HSR Layout,Infotech company on residential area
HSR Layout,CA site cleaning
Thanisandra,1. Water mixing of Pit (Septic Tank) water and No water supply stopped since last eight months
BTM Layout,Streets lights are ON since morning in BTM 2nd stage
Govindraja Nagara,Kasad tottigalannu alavadisuva bagge
K.R.Puram,Worst condition of deva sandra main road Ayyappa nagar
Byatarayanapura,Garbage collection
Chikpete,Street light not working since 2 months
Mangammanapalya,Mosquito Issue -
Hagadooru,Last Two Month Garbage Not Picking Our Area (Ward No 84 Hagdur)
Shivaji Nagar,Drainage leakage from chamber to road
C.V.Raman Nagar,Too Much of Street Dogs in New thippasandra
C.V.Raman Nagar,Water clogging
Hampi Nagar,"Regarding Garbage cleaning, cleaning of vacant area next to our house"
Hampi Nagar,"Regarding Garbage cleaning, Cleaning of vacant area next to our house"
Garudacharpalya,Drinking water pipe broke
Hebbal,Road work incomplete
Madiwala,Irregular Garbage Collection
Attur,Trees touching the electric cables
Ullalu,blocked sanitary pipe
Garudacharpalya,Too many dogs at pattandur Agrahara near ITPL. Couldn't sleep as they were shouting whole night
Yeshwanthpur,Blockage of Sewage System
Jnanabharathi Ward,Regarding garbage collection piled up at my area causes health hazards
Begur,CLEANING THE VACANT PLOT WHICH has abundant RODENTS AND SNAKES
J.P.Nagar,Garbage Piled up -- Health Danger with Garbage rot
Deepanjali Nagar,Dangeroud road condition
Ullalu,"Building material dumped at the road side, water blockage"
Shivaji Nagar,Cement pipes lying on road
Shivaji Nagar,Cement pipes lying on road
Chokkasandra,Street light not working
Jakkur,Garbage van is absent from one week
Kottigepalya,repair of street light
Marathalli,Attack of Street Dog
Jayangar,Blocking of drain water in front of our house
Shettyhalli,Street light bulb got fused.
Begur,Kitchen Drainage Block !!!
Shettyhalli,Street light bulb got fused.
Shettyhalli,Street light bulb got fused.
Gottigere,Street Light Not Working
Herohalli,Sewage water chamber blocking
Nagarabhavi,Upcoming car garage in my neighbor and plot
Doddabommasandra,Electric pole to be shifted
Doddabommasandra,Sanitary pipe leakage
Ganeshmandira Ward,Attack of Public from Street Dog
Konena Agrahara,street dogs problem
Hoodi,Not Able to Pay Property Tax On lIne - last two years
Konena Agrahara,No garbege collection regularly in our area.
Hoodi,Not Able to Pay Property Tax On lIne - last two years
Doddabommasandra,Bommasandra_Pedestrain under pass maintainence
K.R.Market,Water stagnant on roads
Ramamurthy Nagar,street dogs
Padmanabha Nagar,Fallen Tree branch not removed from footpath
HSR Layout,NIPAH virus-Bats control
HSR Layout,NIPAH virus - control bats
HBR Layout,Door to Door garbage collection standard timing request
Ramamurthy Nagar,Regarding worst road condition in Hoyasala Nagar 8th Main
Bommanahalli,Illegal construction with ground+6 floors on a 30 - 40 site
Uttarahalli,Pigs in our area
Dharmarayaswamy Temple Ward,Dustbin vechile are not come daily.
HAL Airport,Issue of mosquitos
Chikpete,Full of garbage filled in empty site... Which is affecting all neighbour
Madiwala,Nuisance created by paying guest
Chamrajpet,Useless...just a waste of time...just collect taxes...and don't do anything...
Devasandra,Garabage pickup
Hebbal,Clearing& cleaning of garbage collection on Hebbal ORR
Kuvempu Nagar,Dustbin vehicle not coming daily
K.R.Puram,Drainage issue
K.R.Puram,Drainage issue
Kammanahalli,Street dogs
Bharathi Nagar,Drinage water mixed in Drinking Water - Require urgent attention - affecting health of all the people
Hosathippasandra,Drainage water overflows inside the house
Kammanahalli,Noise and air pollution in residential area because of car garage
Begur,Tarring of mud road
Kempegowda,regarding the online bill payment
Konena Agrahara,"Nandi Toyota Waste water running on the is road, cause public nusence"
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Herohalli,Drainage water accumulated hi
Jakkur,garbage smell
Peenya Industrial Area,street light not working
Dharmarayaswamy Temple Ward,sewage draiage blocked
Bellandur,"No roads and street lights in Janatha colony, Doddakannalli"
Konena Agrahara,Garbage not cleared from 15 days.
Sarvagna Nagar,Garbage not removed in 80ft road.
Attur,street light not working
Shivaji Nagar,Street light not working
Ramamurthy Nagar,Bats residing in nearby tree
Dommalur,road asphalting
Horamavu,Road to United Crossandra apt submerges during rains at Horamavu Agara Lake
Horamavu,Road to United Crossandra apt submerges during rains at Horamavu Agara Lake
Malleshwaram,Rain water drain blocked
Pulikeshi Nagar,Street light not working - LRB F2 TC 15 EH35523 18404 & 5 P1714
Pulikeshi Nagar,Street light not working - LRB F2 TC 15 EH35523 18404 & 5 P1714
Attiguppe,Garbage Clearance Issue
Jakkur,No Streetlights
Bellandur,Urgent :Main Road to Junnansandra is filled with potholes.Multiple accidents happening.
Dharmarayaswamy Temple Ward,DRAINAGE BLOCKED
Jakkur,Throwing Dustbin in residential area and land
Shanthi Nagar,Garbage problem disease's spreading all over please respond as soon as possible.....
Malleshwaram,fogging in 18 th cross near Nirma Rani School 13 main Malleswaram west bangalluru banglore 560055
Ramamurthy Nagar,Road repair
Doddanekkundi,Illegal turn at Graphite Junction by RMZ Centennial -Perennial problem
Uttarahalli,DOGS MENACE
K.R.Puram,Complaint on the tax collector by name Venkatesh from KR puram which cheated for 50000/- without receipts.
Chikpete,Sewage Blocked
Madiwala,draing water problem in front of the house
Kushal Nagar,Severe Water Problem(WE DO NOT HAVE ALTERNATE WATER FACILITY)
Uttarahalli,Road Asphalt is ignored for more than 8 months
Hebbal,While trying to submit the property tax getting payment in transition
Begur,Kammasandra Village Road . ECity Phase 2
BTM Layout,Disturbance and unable to walk in footpath
Shanthi Nagar,Terrible Stink for quite a distance
Bellandur,Road in bad condition
Ejipura,"Street Lights not working in Aradhana Layout, 20th C IInd Cross, Ejipura. Bangalore"
Yelahanka Satellite,Garbage collection in Someswaranagar - yelahanka
Arakere,Illegal use of footpath by vendors.
Govindraja Nagara,Illegal garbage dumping in vacation site
Byatarayanapura,Drainage not closed for the past five years.
Vannarpet,Drainage overflow
J.P.Nagar,Drainage system is blocked.
Hebbal,"Very bad smell and health hazard for Residents of Prestige Misty Waters, Hebbal Kempapura, bengaluru 560024"
Shakambari Nagar,side passage insufficient towards west side from gate
Arakere,Street light not working
Bagalagunte,Garbage
Bagalagunte,Garbage
Byrasandra,Street light not working LIC colony jayanagar 3rd block
Chikpete,Replacement of old sanitary pipe
Doddanekkundi,Drbries on road
K.R.Puram,Dust bin pickup Vehicle is not collecting the waste
BTM Layout,"Open Drains on 1st main road , Bannerghatta road"
Vijay Nagar,Water problem
Banasawadi,Bhuwanagiri park opp to telephone exchange work un completed. Park fench remain open.
Banasawadi,Bhuwanagiri park opp to telephone exchange work un completed. Park fench remain open.
Malleshwaram,Street lights not working
Rajarajeshwari Nagar,"tree fallen in front of our house in BEML LAYOUT, Raja rajeswari nagar."
Jakkur,Stench from lorries carrying waste dumping in bellahalli bande
T-Dasarahalli,Payment made and amount got deducted. But got certificate error and amount got deducted.
Ramamurthy Nagar,Illegal garbage dumping
Gandhi Nagar,complaint against unhygienic garbage near our house
Gandhi Nagar,complaint against unhygienic garbage near our house
Gandhi Nagar,complaint against unhygienic garbage near our home.
Benniganahalli,Big earth soil depletion(hole) near electric pole - Dangerous situation
HBR Layout,Request to prevent the garbage dumping in front of my housr
A.Narayanapura,Drainage Block
Byatarayanapura,no action taken on the garbage from 1 week
Horamavu,Unknown people are dumping large amount of Garbage and a factory has been dumping waste over long period of time
BTM Layout,Water logging to 5 feet high in residential area
K.R.Puram,Street dogs - KRR Layout
Radhakrishna Temple,Strret light not funtiioning - 3 gays.
C.V.Raman Nagar,difference in challan and receipt
Nagavara,Drainage full
Konanakunte,Broken Roads
Varthur,Garbage collection problem
Maruthiseva Nagar,Our road Lane is getting dumped by plastic/ wet wastes from residents as well as from BBMP workers on daily basis
Vijay Nagar,Removal of garbage
Hosathippasandra,Irregular Collection of Garbage
Hagadooru,"Road Patholes in Nallurhalli Circle, Borewell Road, 560066"
Bommanahalli,Request to clean the waste in Kudlu junction canal.
Ganeshmandira Ward,Garbage
Dharmarayaswamy Temple Ward,Dumping waste by sweeper
Jalahalli,street light bulb change
Banashankari Temple Ward,street light not working
Jayangar,"Lot of water wastage and leak in jp nagar, near sagar hospital, since 5 days"
Varthur,Garbage Collection Not happening for the last 15 days
Banasawadi,Main sewage chamber is blocked
Varthur,"Damaged roads @Varthur-Panathur main road(Ward no-149, Mahadevapura Constituency):reg........."
Hegganahalli,Property Tax Amount deducted from Bank Account
Dayananda Nagar,Garbage in Conservency
Uttarahalli,"street lights, road asphaltation , street dogs,"
Uttarahalli,"street lights, no asphaltation, street dog menance, no address boards,"
Uttarahalli,"street lights, no asphaltation, street dog menance, no address boards,"
Uttarahalli,"street lights, no asphaltation, street dog menance, no address boards,"
HBR Layout,Dog nuisance in HBR Layout 1st stage 2nd Block HBR Layout area
HBR Layout,Dog nuisance in HBR Layout 1st stage 2nd Block HBR Layout area
Byatarayanapura,No water supply to our house
Kadugudi,Complain again illegall construction of speed breakers
Byatarayanapura,Blatant Misuse of Parking Space...
Sarvagna Nagar,ELECTRIC WIRING DAMAGED/PUNCTURED DURING WATER PIPE INSTALLATION BY BBMP_NO ELECTRICITY AT HOME
Hoysala Nagar,Open Sewer Manhole in IndiraNagar.
Jeevanbhima Nagar,Non issue of voter card
Marenahalli,Fallen tree branch to be removed
HSR Layout,Potholes
Shanthala Nagar,Tree Fall
Ramamurthy Nagar,Sanitary clogging and overflowing in front of my house
Basavanapura,"Drainage flooding into Houses, Ward no 53 (9th Cross, Basavanapura, K.R.Puram)"
Shanthi Nagar,N.I.residency Chamber Block
Uttarahalli,Drainage issue
Hoodi,road damage
Hanumantha Nagar,Mount Joy Road repair work and tarring of road
Nagarabhavi,Tree has fallen
Shakambari Nagar,"Objection to Sri Udupi Food Hub restaurant opened on 18/3/2018 in 8th Block, Jayanagar (Shakambari Nagar Ward No 179), Bengaluru"
Ramamurthy Nagar,Waste being thrown by apartment residents into my plot
Jayanagar East,Gym operating in a residential area and playing loud music causing surrounding residences
Dommalur,BDA land Encroachment at Doopanahalli (domlur ward)
Konanakunte,Dirty and garbage thrown on the empty plot next to our building
Konanakunte,"House no 675/10 in shreyas colony, sanitary connection not happened"
Ramamurthy Nagar,Drinage smell in streat
Bellandur,11KV Cable damaged during cauvery pipeline digging work by JCB- Urgent
Hoysala Nagar,Dangerous - Tilted Tree to be Cut Down
Aramane Nagar,NON RECEIPT OF VOTER ID - REG.
Aramane Nagar,COMPLAINT NON-RECEIPT OF VOTER ID - REG.
Yelahanka Satellite,Danger of Falling tree
Doddanekkundi,Debris Dumping in government land
Hosathippasandra,Garbage not being collected
Padmanabha Nagar,Public inconvenience due to road digging for concreting
Padmanabha Nagar,Public inconvenience due to road digging for concreting
Vidyaranyapura,Rectifying the Street light connection
J.P.Nagar,Regarding Election polling duty
Padmanabha Nagar,Rotten Non-veg material dump creating foul smell
Yelachenahalli,Refund of excess payment of Rs 77.34 paid towards property tax for the year 2018-2019
Uttarahalli,Road Asphalt Pending for more than 6 months
Doddanekkundi,no door to door garbage collection
Bommanahalli,Road maintain
Horamavu,Street light not working for more than a year
Vignana Nagar,Digging the road which is tarred last week
Yelahanka Satellite,REBATE ON PROPERTY TAX FOR EX SERVICEMEN
Thanisandra,1. WATER SUPPLY STOPPED LAST SIX MONTH. 2. DRAINAGE (PIT) WATER MIXED WITH WATER
Doddanekkundi,BIG HOLE_FOOTOATH_BUS STAND_MARATHALLI BRIDGE_KALAMANDIR
Hoodi,Road - Damage in our Layout
A.Narayanapura,Underground Drainage Blocked and Residents letting Water on Road
Chowdeshwari,not able to pay as # parameter is calculated wrongly
Jalahalli,Street lights not working
Hagadooru,Nallurahalli road condition
Bilekahalli,Address updation in Property Tax challan
C.V.Raman Nagar,Waste dumping on road and cleaning
Kadugudi,No street lights in Krishna Kuteer phase 2 road
Kadugudi,No street lights in Krishna Kuteer phase 2 road
C.V.Raman Nagar,WASTE COLLECTION
Kadugudi,Bad road conditions in Krishna Kuteer Phase 2 channasandra
Bilekahalli,Road light is not working
HSR Layout,Not issuing the Electoral card in Doddakannalli Office
Byatarayanapura,Tree fallen on our building damaging the kitchen and hall
Byatarayanapura,Tree fallen on our building damaging the kitchen and hall
Byatarayanapura,Tree fallen on our building damaging the kitchen and hall
Byatarayanapura,Tree fallen on our building damaging the kitchen and hall
Shettyhalli,Gutter blockage and scattered garbages
Gandhi Nagar,Play Ground full of lashes & garbage
Gandhi Nagar,Lot of mosquito in our entire area
Hosathippasandra,Waste collection
J.P.Nagar,"paid status ""validity expired"""
Banasawadi,Drainage Line broken up due to construction. No drainage out for one whole road.
BTM Layout,Dangerous situation
Dayananda Nagar,destroying cement road layed and causing inconvenience to residence
Byatarayanapura,corporation water supply problem
Shanthi Nagar,Sentry black from two days
Attiguppe,"ILLEGAL STRUCTURE NEAR MUNISHWARA TEMPLE,SUBBANNA GARDEN 1ST CROSS VIJAYANAGAR BLORE-40"
Shanthi Nagar,Surroundings Completely Dirty
Govindraja Nagara,Collection of waste
Gottigere,Old construction debris piled and blocking the drain.
K.R.Puram,Garuda Royal homes overnight construction work
Visvesvarapuram,"Illegal encroachment ,trespass over Ashaktha poshaka Sabha conservancy road ar v.vpuram.Bangalore 560004 ward No.143"
Kuvempu Nagar,Dranage Blocked due to construction in next site
Hosathippasandra,Non REmoval of Road Sweepings
Bharathi Nagar,Construction material dumped on road and footpath.
Dodda Bidarkallu,Street lights are not working since 2 months and No Boar-water since 2 weeks
Attiguppe,Sewage problem
Kempegowda,Street light
Jayangar,"Eatery coming up in Residential road-25ft width -aT-255-9TH a MAIN,3RD BLOCK,JAYANAGAR"
Jayangar,"Eatery coming up in Residential road-25ft width -aT-255-9TH a MAIN,3RD BLOCK,JAYANAGAR"
Marathalli,Footpath constructiom
BTM Layout,against pg incharge
Mangammanapalya,Garage disposal
Mangammanapalya,Garbage disposal
Dharmarayaswamy Temple Ward,Bad road with no proper street lights
Dommalur,"Garbage burning by ASC , Domlur"
BTM Layout,Construction issues
Jeevanbhima Nagar,Nuisance caused by commercial usage near my residence
Koramangala,Highlighting the water logging issues in Bangalore City
Kammanahalli,Water issues
Horamavu,Excess property tax
Herohalli,unable to pay property tax
Lingarajapura,tree branch fallen on the building to be removed
Jeevanbhima Nagar,Rain water stagnant in front of the house
Singasandra,Tree fell down
Kumaraswamy Layout,Property Tax receipt
Shanthi Nagar,Complaint against Me. Prashantha 7090028980
Sarakki,not able to file my property tax
Mangammanapalya,"Encroachment on Silver County Road, Near Harlur Road"
Singasandra,"Harlur-Kudlu-Parappana Agrahara Main Road Worst broken roads, dust, debris, not getting repaired"
J.P.Nagar,Speed breaker\speed bump required on 12A Cross J.P.Nagar 2nd Phase
J.P.Nagar,Drainage construction left midway and uncovered
Hebbal,"Dumping of Waste in Front of House - Near SBI Bank Bus stop Anand Nagar,"
HAL Airport,Drainage bloked
Bellandur,Garbage menace at Iblur Junction
Ramamurthy Nagar,Drinage Issue - Neighbour blocked and health issue
Ramamurthy Nagar,Drinage Issue - Neighbour blocked and health issue
Bellandur,"Missing Road with all Diggings, towards SJR REDWOODS from HARLUR ROAD"
Bellandur,Garbage Menace from OPUS club on SarjapuraRoad/Harlur Road Bangalore
Bellandur,Garbage Menace from OPUS club on SarjapuraRoad/Harlur Road Bangalore
K.R.Puram,Street light repair
Banasawadi,Garbage accumulation
Vannarpet,Street Light Not working since 1 month
HSR Layout,Mosquito menance
Chikpete,"Excavation opto depth of fifteen feet but no safety barricades along road ,if someone's falls into pit gets serious injured"
Chikpete,"Excavation opto depth of fifteen feet but no safety barricades along road ,if someone's falls into pit gets serious injured"
Ulsoor,Road not tarred since december 2017 digging
Byatarayanapura,Street light not working
Kempapura Agrahara,"Getting error for SAS 2018-19 Application :1600680976 , No katha details found. Please contact ARO"
Kammanahalli,No cleaniness with neighbours
Padmanabha Nagar,Street light not working
Gottigere,Street Light Not Working
Chikpete,Please help: Unable to pay Property Tax 2018-2019
Garudacharpalya,Drainage Garbage dumping and non cleaning on sub way platforms
Garudacharpalya,Drainage Garbage dumping and non cleaning on sub way platforms
Garudacharpalya,Drainage Garbage dumping and non cleaning on sub way platforms
Garudacharpalya,Drainage Garbage dumping and non cleaning on sub way platforms
Malleshwaram,Property Tax payment online Error
Mathikere,Application no. 1600102422 refund the amount Rs. 140/-
Vijay Nagar,Street light not working
Hosakerehalli,Road Safety On Ittamdu Road
Mathikere,Complaint against RO Malleswaram and ARO mathikere.... reg site belonging to S FrANCIS BUT SOLD TO OTHERS ILLEGALLY
Thanisandra,Not able to print tax receipt
Pulikeshi Nagar,Dead tree posing threat
Hoysala Nagar,Unable to download Property Tax Paid Receipt
Konena Agrahara,Waste water drainage
Dharmarayaswamy Temple Ward,garbage dumping regularly
Gottigere,Garbage burning near nice road Gottigigere at night time.
Koramangala,"regarding Nursery Schools near NGV, kormangal."
Singasandra,BAD ROAD- SADGURU SCHOOL ROAD-560068 (SINGASANDRA)
Yelachenahalli,"Property Tax amount debited from bank but receipt not generated showing as ""Validity Expired"""
Doddanekkundi,Drainage work incomplete
Doddanekkundi,Street lights not working
Koramangala,Garbage and Drainage smelling
K.R.Market,TREE HAS FALLEN ON HOUSE
Sanjay Nagar,basement is full with water of dranage chance of fallen of building
Kammanahalli,Drainage blocked
Radhakrishna Temple,Street Light Not functioning
Kodigehalli,No lights on alternative poles
Thanisandra,Dog dead
Vijay Nagar,street light problem
Thanisandra,Correction in Owner?s name in Property Tax web portal [SAS Base Application No. 1500125083]
Basaveshwara Nagar,Tree fell in Basaveshwara Nagar 7th C Main
Attur,"Property tax amount deducted from SB account status show ""validity expired"". Amount not recredited to account even after 5 days"
Jnanabharathi Ward,Open drainage causing to many problems
Sanjay Nagar,Fallen tree
Sanjay Nagar,Fallen Tree to be cleared
Nagapura,Fallen tree and electric pole
HSR Layout,"No Drainage near my house (18th Main, 23rd Cross, Hsr Layout Sector-3) leading to mosquito breeding spots and finally Dengue, etc"
Vijay Nagar,Street Light not working
Uttarahalli,Streets Lights not working
Siddapura,Drainage cleaning
BTM Layout,Silk board fly over is not tarred
Mathikere,3rd complaint reg. corruption in Ward No. 36 Mathikere in connection with individual/jt. katha issue... ARO/RO
Kacharakanahalli,PATHETIC BBMP TAX PORTAL.....NOT CUSTOMER FRIENDLY.
Puttenahalli,Road not proper and has too many potholes
HAL Airport,Garbage
Hombegowda Nagar,2018-2019 Online Double Payment - Reg
Jnanabharathi Ward,To clean about drainage water
Puttenahalli,Waste not being picked
Dommalur,Mismatch Name in form V when we are paying online Property Tax
Lakshmidevi Nagar,RECEIPT IS NOT GENRETED
Yelahanka Satellite,Tar road
Basavanapura,Camber plate opened since 3 days in centre of the road
Bommanahalli,Not accepting shops waste n asking to pay daily to accept waste.
Herohalli,Complain about cleanliness around our house
Sarakki,dry leaves & house waste not getting cleared
Agrahara Dasarahalli,Sanitary problem
Marappana Palya,Street Light Not Working
HBR Layout,HBR Layout BBMP staff rude/un professional behaviour - Staff availability at desk is major concern
Vasanth Nagar,Request for Removal of Telecom Mobile Tower Erected
Vidyaranyapura,Street light not working
Kammanahalli,Bad road
Kammanahalli,Bad road
Kammanahalli,Open drainage causing to many problems
Vidyaranyapura,"Property Tax amount debited from bank but receipt not generated showing as ""Validity Expired"""
Madiwala,Problem with dogs at Maruthinagar Madiwala..
Arakere,Storm water drain Is blocked.
HSR Layout,Encroachment of Road closing the storm water drain
Hagadooru,PID no. allotted on SAS Base application no. 652008784 shows wrong location on map.
Vignana Nagar,No garbage collection happening
Vignana Nagar,No garbage collection happening
Bommanahalli,Lift issue in commercial building
Bellandur,Regarding housing tax assessment
Bellandur,Regarding housing tax assessment
Dharmarayaswamy Temple Ward,"Dumping Wastage in ward no.47, Near My Sugar Building."
Marathalli,Huge property tax difference from last year
Vishwanathnagenahalli,Area Road Mainting Neet and Clean
Bellandur,Construction work blocking the road for vehicle entry to the lane
Sanjay Nagar,HEN SOUND
Sanjay Nagar,Garbage/Plastic thrown in open land and burned causing Heavy Smoke - Sanjay Nagar
Visvesvarapuram,Neighbours damaged my house while construction
Kacharakanahalli,property tax payment failure.....
Jayangar,Street light notworking
Ejipura,Road side shop in Ejipura causing difficulty to people
K.R.Market,Abnormal Parking Charges at City Market Bangalore
Basavanapura,Sweage Water Spilled Badly at backyard of Pashmina Waterfront Appartments
Bilekahalli,"Illegal construction in Kodichikkanahalli main road, catering mass gathering every day"
Rajarajeshwari Nagar,Regarding corruption.
Rajarajeshwari Nagar,Big Pot Holes through 42nd Main Road and Pattengere Main Road
Devasandra,Ignored drainage
Devasandra,Open drains
Devasandra,"Prompt execution of work order issued regarding upgrading work of drainages in 1st main road, bheemiyah layout ward no-55 devasandra KR puram"
Devasandra,Complaint against closing the drainage
Basavanapura,Poor road condition in our street
Vishwanathnagenahalli,katha Transfer
Marathalli,Road cleaning garbage piled up by the workers on road side
Garudacharpalya,complaint no 10753245
Jayachamarajendra Nagar,Unable to pay the property tax online for the last 1 year
Giri Nagar,Receipt not generated for Property Tax paid online
Hagadooru,Street light not working
Gayathri Nagar,Street lights -No Power (full dark)
Thanisandra,Denial of Voter's ID card/accurate information since almost one year at BBMP Thanisandra
Bellandur,Getting Error while paying BBMP TAX throught Online Gateway PayU - SAS App No. 1500111011
Kushal Nagar,Illegal Water Connection to the Sump with Motor
Mathikere,"Corrupti0n and attempting to eliminate me by ARO Mr Ramdas , Mr. Hemanth Kumar and others from BBMP for exposing their misdeeds."
Hongasandra,"Street dogs menace at 11th Main, Hongasandra"
Hongasandra,"Street light not available in next to 2nd cross, 11th Main Road, Hongasandra"
Uttarahalli,Unattended Dump yard resulting in unbearable drainage stench in Banashankari 5th Stage BDA Layout
Dommalur,chamber overflowing last one week.
Sanjay Nagar,Garbage created by Bescom not cleared
Sarakki,Garbage collector dumping trash
Sarakki,GYM equipment repair at WARD 178
Bagalagunte,Illegal construction.
Mahalakshmipuram,FENCE OF THE PARK
Kumaraswamy Layout,Garbage disposal in front of our house
Marathalli,Garbage cleaning
Shivaji Nagar,complain about officer not doing their work
Konanakunte,address correction
Konanakunte,address not correct in receipt of bbmp record
Konanakunte,ADDRESS CORRECTION
Konanakunte,CHANGES TO BE MADE IN ORIGINAL RECORD
Jakkasandra,adreess correction of my flat no.401 vandana lotus apartment application no. 1600438532
Kottigepalya,Property Tax Receipt not generated for the year 2018-19
Jakkur,Bad smell due to waste dump daily near Jakkur Railway gate
Vignana Nagar,Residents has digged on Taar road which is causing alot of skids for trespassers
Vasanth Nagar,Garbage not taking
Koramangala,work regarding storm drain in 17 th f main road 6 th block koramangala.
Varthur,Street light in our street
Varthur,Street light in our street
BTM Layout,illigally occupying road
Devasandra,Road is to be 20ft...but homes are built on road...
Devasandra,Road is to be 20ft...but homes are built on road...
K.R.Puram,Street light not working..
Jnanabharathi Ward,Street lights not working since long time
Jnanabharathi Ward,Street lights not working since long time
Varthur,Dogs barking through out night time
Varthur,Dogs barking through out night time
Bommanahalli,Garbage Burning
J.P.Nagar,Street Lights not working - JP Nagar 8th Phase
Ejipura,No road light from Ejipura signal towards Domlur bridge
Kuvempu Nagar,Street Light not working since 2 weeks
Kempegowda,discrpencies in receipt Details of Propert No. And Katha No Survey No
